name,category,url,description,status
skills.sh,AI coding workflow,https://skills.sh/,"Directory and learning surface for reusable skills that improve agent workflows and coding operations.",active
Remotion,AI video/content stack,https://www.remotion.dev/,"React-based framework for generating videos programmatically; useful for automated content and video production.",active
gstack,AI app starter stack,https://github.com/garrytan/gstack,"Opinionated AI app starter template for shipping AI products faster.",active
OpenArt Suite,AI creative tools,https://openart.ai/suite/,"AI toolkit for image generation, editing, and branded creative asset production.",active
everything-claude-code,Agent optimization system,https://github.com/affaan-m/everything-claude-code,"Toolkit for improving AI coding agents with skills, memory, security, and research-first workflows.",active
Paperclip AI,Multi-agent business ops,https://github.com/paperclipai/paperclip,"Platform for orchestrating teams of AI agents to run business workflows from one dashboard.",active
Auto Research,Research automation,TBD,"Placeholder entry until the exact tool URL and product name are confirmed.",needs-confirmation
Pollinations.ai,Multi-modal AI platform,https://pollinations.ai/,"Free open-source platform offering simple API access to state-of-the-art models for image, text, audio, and video generation — no signup required, with free compute for developers building AI-powered apps.",active
Drizz,AI QA/testing,https://www.drizz.dev/,"Vision AI mobile app testing agent for QA automation and regression coverage.",active
Claude Architect Guide,AI learning resource,https://x.com/hooeem/status/2033198345045336559,"Comprehensive guide to becoming a Claude Architect — covers Claude Code, Claude Agent SDK, Claude API, and Model Context Protocol (MCP) for building production-grade AI applications; based on a structured exam curriculum.",active
Variant,AI UI design,https://variant.com/,"AI design tool that generates endless UI variations by scrolling — type any app idea and explore multiple visual directions; designs can be exported as HTML or React code for rapid prototyping.",active
21st.dev,AI agent infrastructure,https://21st.dev/,"Developer platform for building and deploying AI agents at scale, offering an Agents SDK with pre-built UI components, chat history, spend limits, sandbox execution, and observability for Claude and OpenAI models.",active
